m,y,p,c,u,lat,lng,t
372,1887,"Lalitpur","IN","12451",24.45,78.56667,"L6"
340,1887,"De Cewsville","CA","6621",43,-80,"H6"
34000,1889,"Jelica","RS","12078",43.83333,20.44167,"LL6"
20000,1889,"Ergheo","SO","10044",1.16667,44.16667,"L5"
11000,1889,"Lundsgård","SE","14755",56.21667,13.03333,"L6"
8000,1889,"Mighei","UA","16634",48.06667,30.96667,"CM2"
220,1889,"Ferguson","US","10088",36.1,-81.41667,"OC"
600000,1890,"Jianshi","CN","12087",30.80833,109.5,"Iron, IIIAB"
152000,1890,"Forest City","US","10119",43.25,-93.66667,"H5"
89400,1890,"Farmington","US","10074",39.75,-97.03333000000001,"L5"
5800,1890,"Misshof","LV","16703",56.66667,23,"H5"
5000,1890,"Collescipoli","IT","5403",42.53333,12.61667,"H5"
4000,1890,"St. Germain-du-Pinel","FR","23087",48.01667,-1.15,"H6"
1250,1890,"Hassi-Jekna","DZ","11852",28.95,0.81667,"Iron, IAB-sHL"
350,1890,"Kakangari","IN","12230",12.38333,78.51667000000001,"K3"
105,1890,"Nawapali","IN","16927",21.25,83.66667,"CM2"
27000,1891,"Indarch","AZ","12027",39.75,46.66667,"EH4"
1915,1891,"Gu̻a","RS","11440",43.76667,20.23333,"Stone-uncl"
39000,1892,"Guareña","ES","11439",38.73333,-6.01667,"H6"
21000,1892,"Bath","US","4974",45.41667,-98.31667,"H4"
15000,1892,"Bansur","IN","4936",27.7,76.33333,"L6"
167,1892,"Cross Roads","US","5476",35.63333,-78.13333,"H5"
14000,1893,"Beaver Creek","CA","4986",51.16667,-117.33333,"H5"
900,1893,"Pricetown","US","18888",39.11667,-83.84999999999999,"L6"
100,1893,"Bherai","IN","5039",20.83333,71.46666999999999,"L6"
17600,1894,"Fisher","US","10107",47.81667,-96.84999999999999,"L6"
8600,1894,"Bori","IN","5111",21.95,78.03333000000001,"L6"
2500,1894,"Savtschenskoje","UA","23190",47.21667,29.86667,"LL4"
25,1894,"Los Martinez","ES","14708",38,-0.83333,"L6"
6400,1895,"Ambapur Nagla","IN","2290",27.66667,78.25,"H5"
6100,1895,"Nagy-Borov̩","SK","16893",49.16667,19.5,"L5"
1641,1895,"Rockhampton","AU","22640",-23.38333,150.51667,"Stone-uncl"
1039,1895,"Bishunpur","IN","5060",25.38333,82.59999999999999,"LL3.15"
2000,1896,"Lesves","BE","12772",50.36667,4.73333,"L6"
840,1896,"Ottawa","US","18046",38.6,-95.21666999999999,"LL6"
400,1896,"Madrid","ES","15382",40.41667,-3.71667,"L6"
94.2,1896,"Atemajac","MX","4884",20.06667,-103.66667,"L6"
7000,1897,"Lancon","FR","12456",43.75,5.11667,"H6"
6400,1897,"Gambat","PK","10851",27.35,68.53333000000001,"L6"
870,1897,"Meuselbach","DE","16626",50.58333,11.1,"L6"
750,1897,"Higashi-koen","JP","11883",33.6,130.43333,"H5"
467,1897,"Nio","JP","16982",34.2,131.56667,"H3-4"
400,1897,"Kangra Valley","IN","12246",32.08333,76.3,"H5"
0.8,1897,"Delhi","IN","6642",28.56667,77.25,"L5"
10750,1898,"Quesa","ES","22360",39,-0.66667,"Iron, IAB-ung"
3200,1898,"Andover","US","2295",44.61667,-70.75,"L6"
