place,nametype,type_of_meteorite,g_mass,fell_found,year,id,latitude,longitude
Dowa,Valid,Stone-uncl,642,Fell,1976,7725,-13.666670,33.916670
Drake Creek,Valid,L6,5000,Fell,1827,7728,36.400000,-86.500000
Dresden (Ontario),Valid,H6,47700,Fell,1939,7731,42.520000,-82.260000
Dubrovnik,Valid,L3-6,1900,Fell,1951,7736,42.458330,18.441670
Dunbogan,Valid,L6,30,Fell,1999,7743,-31.666670,152.833330
Dundrum,Valid,H5,2270,Fell,1865,7745,52.550000,-8.033330
Dunhua,Valid,Stone-uncl,,Fell,1976,7749,43.333330,128.250000
Durala,Valid,L6,13200,Fell,1815,7750,30.300000,76.633330
Duruma,Valid,L6,577,Fell,1853,7752,-4.000000,39.500000
Duwun,Valid,L6,2117,Fell,1943,7754,33.433330,127.266670
Dwaleni,Valid,H4-6,3230,Fell,1970,7755,-27.200000,31.316670
Dyalpur,Valid,Ureilite,300,Fell,1872,7757,26.250000,82.000000
Dyarrl Island,Valid,Mesosiderite-A1,188,Fell,1933,7758,-3.000000,151.000000
Eagle,Valid,EL6,10000,Fell,1947,7760,40.781670,-96.471670
Ehole,Valid,H5,2400,Fell,1961,7774,-17.300000,15.833330
Eichstädt,Valid,H5,3000,Fell,1785,7775,48.900000,11.216670
Ekeby,Valid,H4,3336,Fell,1939,7776,56.033330,13.000000
Ekh Khera,Valid,H6,840,Fell,1916,7777,28.266670,78.783330
El Idrissia,Valid,L6,10000,Fell,1989,7807,34.416670,3.250000
El Paso de Aguila,Valid,H5,17226,Fell,1977,45977,25.370000,-97.370000
El Tigre,Valid,L6,5000,Fell,1993,7819,19.967220,-103.051670
Elbert,Valid,LL6,680.5,Fell,1998,7822,39.246670,-104.588170
Elbogen,Valid,"Iron, IID",107000,Fell,1400,7823,50.183330,12.733330
Elenovka,Valid,L5,54640,Fell,1951,7824,47.833330,37.666670
Ellemeet,Valid,Diogenite,1470,Fell,1925,10019,51.750000,4.000000
Emmaville,Valid,Eucrite-mmict,127,Fell,1900,10033,-29.466670,151.616670
Enshi,Valid,H5,8000,Fell,1974,10038,30.300000,109.500000
Ensisheim,Valid,LL6,127000,Fell,1492,10039,47.866670,7.350000
Épinal,Valid,H5,277,Fell,1822,10041,48.183330,6.466670
Erakot,Valid,CM2,113,Fell,1940,10042,19.033330,81.891670
Erevan,Valid,Howardite,107.2,Fell,1911,10043,40.300000,44.500000
Ergheo,Valid,L5,20000,Fell,1889,10044,1.166670,44.166670
Erxleben,Valid,H6,2250,Fell,1812,10049,52.216670,11.250000
Esnandes,Valid,L6,1500,Fell,1837,10051,46.250000,-1.100000
Essebi,Valid,C2-ung,500,Fell,1957,10055,2.883330,30.833330
Estherville,Valid,Mesosiderite-A3/4,320000,Fell,1879,10059,43.416670,-94.833330
Farmington,Valid,L5,89400,Fell,1890,10074,39.750000,-97.033330
Farmville,Valid,H4,56000,Fell,1934,10075,35.550000,-77.533330
Favars,Valid,H5,1500,Fell,1844,10078,44.383330,2.816670
Fayetteville,Valid,H4,2360,Fell,1934,10079,36.050000,-94.166670
Feid Chair,Valid,H4,380,Fell,1875,10080,36.883330,8.450000
Felix,Valid,CO3.3,3200,Fell,1900,10081,32.533330,-87.166670
Fenghsien-Ku,Valid,H5,82,Fell,1924,10086,34.600000,116.750000
Ferguson,Valid,OC,220,Fell,1889,10088,36.100000,-81.416670
Fermo,Valid,H3-5,10200,Fell,1996,10091,43.181110,13.753330
Fisher,Valid,L6,17600,Fell,1894,10107,47.816670,-96.850000
Florence,Valid,H3,3640,Fell,1922,10111,30.833330,-97.766670
Forest City,Valid,H5,152000,Fell,1890,10119,43.250000,-93.666670
Forest Vale,Valid,H4,26000,Fell,1942,10120,-33.350000,146.858330
Forksville,Valid,L6,6067,Fell,1924,10123,36.783330,-78.083330
Forsbach,Valid,H6,240,Fell,1900,10163,50.950000,7.316670
Forsyth,Valid,L6,16300,Fell,1829,10164,33.016670,-83.966670
Fort Flatters,Valid,Stone-uncl,,Fell,1944,10166,28.250000,7.000000
Frankfort (stone),Valid,Howardite,650,Fell,1868,10177,34.483330,-87.833330
Fuhe,Valid,L5,23000,Fell,1945,52412,31.475560,113.566940
Fukutomi,Valid,L5,11620,Fell,1882,10836,33.183330,130.200000
Fünen,Valid,Stone-uncl,,Fell,1654,10838,55.333330,10.333330
Futtehpur,Valid,L6,4000,Fell,1822,10839,25.950000,80.816670
Fuyang,Valid,Stone-uncl,2500,Fell,1977,10840,32.900000,115.900000
Galapian,Valid,H6,132.7,Fell,1826,10846,44.300000,0.400000
Galim (a),Valid,LL6,36.1,Fell,1952,10848,7.050000,12.433330
Galim (b),Valid,EH3/4-an,28,Fell,1952,10849,7.050000,12.433330
Galkiv,Valid,H4,5000,Fell,1995,10850,51.683330,30.783330
Gambat,Valid,L6,6400,Fell,1897,10851,27.350000,68.533330
Gao-Guenie,Valid,H5,,Fell,1960,10854,11.650000,-2.183330
Garhi Yasin,Valid,"Iron, IIE",380,Fell,1917,10860,27.883330,68.533330
Garland,Valid,Diogenite-pm,102,Fell,1950,10861,41.683330,-112.133330
Gashua,Valid,L6,4162,Fell,1984,44882,12.850000,11.033330
Gasseltepaoua,Valid,H5,,Fell,2000,10866,14.150830,-2.041670
Geidam,Valid,H5,725,Fell,1950,10870,12.916670,11.916670
Gifu,Valid,L6,14290,Fell,1909,10914,35.533330,136.883330
Girgenti,Valid,L6,18000,Fell,1853,10917,37.316670,13.566670
Git-Git,Valid,L6,480,Fell,1947,10919,9.600000,9.916670
Glanerbrug,Valid,L/LL5,670,Fell,1990,10923,52.200000,6.866670
Glanggang,Valid,H5-6,1303,Fell,1939,10924,-7.250000,107.700000
Glasatovo,Valid,H4,152000,Fell,1918,10926,57.350000,37.616670
Glatton,Valid,L6,767,Fell,1991,10930,52.459720,-0.300000
